Trial,Country,parish.subl,Farm.no.,yld_t0,yld_t4,T4.T0,pH_soil,SOC_soil,N_soil,P_soil,K_soil,Ca_soil,Mg_soil,K.Ca.Mg,Ca.Ca.P,SOC.K,SOC..Ca.Mg..K
NOT,Kenya,Nambale,41,17.75,28,10.25,5.2,1.665284036,0.051606678,3.149270046,0.123586055,0.408566775,0.235830619,0.191785467,0.053004921,13.47469204,8.683056435
NOT,Kenya,Nambale,42,9.5,25,15.5,5.3,1.525671527,0.050926511,2.292709627,0.139956847,0.313489933,0.555033557,0.161143421,0.042864538,10.90101388,9.467786617
NOT,Kenya,Nambale,44,18,33.75,15.75,5.3,1.67671077,0.054507871,3.407032083,0.141804462,1.41222973,0.1,0.093771772,0.585375412,11.82410447,17.8807623
NOT,Kenya,Nambale,45,18.5,20.75,2.25,5.2,1.576653889,0.060237182,3.284688658,0.511508951,1.633770492,0.914754098,0.200707874,0.812620707,3.082358353,7.855466059
NOT,Kenya,Nambale,46,5.05,45.5,40.45,5.2,1.0994898,0.036423135,4.881368572,0.123586055,1.0366,0.565166667,0.077156091,0.220130798,8.89655226,14.25020086
NOT,Kenya,Nambale,47,25.5,27.25,1.75,5.4,1.487347788,0.04698581,2.863166869,0.145650007,0.95959322,0.111525424,0.13597934,0.321608621,10.21179349,10.93804239
NOT,Kenya,Nambale,48,20.4,33.25,12.85,5.2,1.417099226,0.046954588,3.97403002,0.179944517,0.248811881,0.476567657,0.248069469,0.015577978,7.875200917,5.712509602
NOT,Kenya,Nambale,49,21.25,35,13.75,5.9,1.459432904,0.045587058,4.280241012,0.248842193,0.667728814,0.316101695,0.252931974,0.104167445,5.864893284,5.770060941
NOT,Kenya,Mungatsi,51,8.75,12.25,3.5,5.5,1.390006311,0.04052183,3.295674239,0.328460598,0.178677966,0.1,1.178638563,0.009687188,4.231881453,1.179332116
NOT,Kenya,Mungatsi,52,22.7,35.2,12.5,5.1,1.811157675,0.055603897,4.931009608,0.270492869,0.288178808,0.2,0.554085644,0.016841789,6.695768653,3.268732359
NOT,Kenya,Mungatsi,53,8.75,15,6.25,5.7,1.611040974,0.053918931,3.149270046,0.308965138,0.886454849,0.430602007,0.234587548,0.249518837,5.214313118,6.867546842
NOT,Kenya,Mungatsi,54,13.25,27,13.75,5.4,1.480063113,0.040713,10.60079871,0.672948654,0.1,0.1,3.364743268,0.000943325,2.199370048,0.43987401
NOT,Kenya,Mungatsi,55,20.75,33.25,12.5,5.5,1.556945715,0.046087895,6.059737828,0.162598872,0.79744186,0.244850498,0.156001213,0.104940765,9.57537833,9.980343666
NOT,Kenya,Mungatsi,56,9.25,18,8.75,5.3,1.180644386,0.037139351,2.863166869,0.083228575,0.1,0.1,0.416142876,0.003492636,14.18556528,2.837113057
NOT,Kenya,Mungatsi,57,19.75,24.75,5,5.6,1.817750897,0.056695698,8.000178466,0.523248501,0.79761745,0.404530201,0.435261426,0.079522425,3.473972487,4.176227865
NOT,Kenya,Kwang'amor,61,12.25,30,17.75,5.7,0.749127806,0.021441421,3.159873649,0.186003255,0.903020134,0.604530201,0.123381124,0.258062648,4.027498367,6.071656515
NOT,Kenya,Kwang'amor,62,14.25,31.5,17.25,5.9,1.362206721,0.040757423,10.975473,0.353721444,1.284915254,0.307966102,0.222063899,0.150426976,3.851071917,6.134300658
NOT,Kenya,Kwang'amor,63,13.75,34.25,20.5,6,1.67671077,0.053786485,9.446770776,0.425413385,2.134158416,0.565511551,0.157579775,0.48213641,3.941368156,10.64039324
NOT,Kenya,Kwang'amor,64,14,30.75,16.75,5.8,1.771132948,0.048775226,2.676879539,0.370758166,4.156092715,1.537251656,0.065121332,6.452702261,4.777057149,27.19743143
NOT,Kenya,Kwang'amor,65,7,19,12,5.6,0.761036997,0.026497615,10.30792225,0.241499308,0.569508197,0.1,0.360711503,0.031465079,3.151300941,2.10982181
NOT,Kenya,Kwang'amor,66,3,12,9,6,1.817750897,0.05714814,13.0772148,0.704372982,2.598885246,0.569672131,0.222300845,0.516486471,2.580665276,8.176985999
NOT,Kenya,Kwang'amor,67,3.5,17,13.5,5.8,0.597097383,0.016260381,9.509540017,0.06117715,0.267575758,0.008333333,0.221729375,0.007528943,9.760137239,2.692910593
NOT,Tanzania,Ngunja,71,24.5,NA,NA,5.7,1.268401077,0.0420701,6.43441161,0.205287873,1.257993311,0.627926421,0.108852922,0.245950565,6.178645894,11.65243021
