pH,OC,N,Meh_P,Ca,Mg,K,Na,Exch_Acidity,ECEC,Yield
5.9,1.71,0.15,0.64,9.42,3.2,0.96,0.21,0.25,14.04,1.832
5.1,1.54,0.13,9.86,6,1.89,0.38,0.09,0.42,8.77,6.298
5.4,1.31,0.12,9.24,9.04,4.74,0.99,0.09,0.58,15.45,2.337
5,1.73,0.18,4.94,6.31,2.44,1.05,0.08,0.25,10.13,4.586
4.8,2.16,0.18,6.17,6.65,2.85,0.53,0.09,1.25,11.37,7.095
5.1,2.16,0.21,7.4,5.56,2.55,1.37,0.09,0.67,10.23,4.767
5.3,1.88,0.19,0.85,6.51,3.15,1.11,0.09,0.42,11.28,5.508
5.9,1.64,0.15,4.53,9.76,3.02,0.86,0.08,0,13.72,2.906
5,1.82,0.17,0.85,7.03,3.21,1.11,0.09,0.42,11.84,1.962
5.3,2.35,0.3,7.4,6.31,2.86,1.08,0.08,0.58,10.91,2.2
5.6,2.65,0.28,8.22,6.45,2.79,1.11,0.09,0,10.43,2.187
5,1.81,0.2,16.82,6.14,2.18,0.93,0.08,0.5,9.83,8.097
4.6,1.45,0.22,7.61,5.73,2.24,1.07,0.09,0.5,9.63,3.005
5.3,1.6,0.19,30.95,6.1,2.57,0.98,0.09,0.67,10.41,6.45
5.3,1.61,0.16,5.76,6.79,2.18,0.45,0.09,0.58,10.09,1.752
5.4,2.1,0.23,2.08,5.9,2.41,1.1,0.08,0.42,9.9,2.95
5.5,1.98,0.26,7.2,9.86,3.73,1.36,0.08,0.58,15.61,2.042
5.3,2.61,0.24,6.38,5.93,2.32,1.31,0.09,0.5,10.15,2.532
5.2,1.71,0.21,2.28,5.9,2.75,0.72,0.08,0.58,10.03,2.024
5.6,2.2,0.29,8.01,6.62,2.19,1.13,0.09,0.58,10.6,4.109
5.1,2.15,0.26,5.15,5.22,2.17,0.94,0.09,1.09,9.5,2.066
4.6,2.17,0.3,7.2,3.54,1.33,0.77,0.06,3.01,8.71,5.499
5.3,1.81,0.18,0.64,7.33,3.31,0.84,0.09,2.67,14.24,3.529
5.9,1.18,0.13,10.88,13.35,6.5,0.73,0.08,0.42,21.08,1.498
5.5,2.22,0.27,2.49,7.78,3.82,0.62,0.24,1,13,8.649
5,2.76,0.25,10.47,9.28,3.73,0.55,0.09,1.67,15,2.916
4.5,2.27,0.21,2.28,7.23,3.38,0.7,0.06,0.67,12,4.288
5.2,2.25,0.24,2.28,7.47,3.34,0.39,0.06,0,11,4.874
5.9,2.6,0.26,18.87,13.28,6.33,2.81,0.09,0,22,9.251
5.5,2.68,0.29,2.9,11.43,4.55,1.13,0.08,0,17,4.17
5.7,2.87,0.26,3.51,12.29,4.06,1.73,0.09,0,18,5.57
5.8,2.36,0.26,1.87,12.19,4.28,1.28,0.09,0,18,7.108
5.9,1.87,0.24,2.49,9.83,3.39,1.16,0.08,0,14,5.001
4.9,2.06,0.18,2.9,5.9,2.58,0.62,0.09,1.34,11,4.128
5,2.33,0.24,1.26,6.38,3.03,1.15,0.08,0.67,11,6.951
5.4,1.71,0.13,3.1,3.88,1.82,0.23,0.09,0.67,7,3.178
5.4,2.75,0.26,5.15,9.28,3.62,1.1,0.08,0.42,14,5.007
5.5,2.07,0.18,7.81,5.08,2.56,1.27,0.09,0,9,8.665
