"N","K","pH","Yield"
0.15,0.96,5.9,1.832
0.13,0.38,5.1,6.298
0.12,0.99,5.4,2.337
0.18,1.05,5,4.586
0.18,0.53,4.8,7.095
0.21,1.37,5.1,4.767
0.19,1.11,5.3,5.508
0.15,0.86,5.9,2.906
0.17,1.11,5,1.962
0.3,1.08,5.3,2.2
0.28,1.11,5.6,2.187
0.2,0.93,5,8.097
0.22,1.07,4.6,3.005
0.19,0.98,5.3,6.45
0.16,0.45,5.3,1.752
0.23,1.1,5.4,2.95
0.26,1.36,5.5,2.042
0.24,1.31,5.3,2.532
0.21,0.72,5.2,2.024
0.29,1.13,5.6,4.109
0.26,0.94,5.1,2.066
0.3,0.77,4.6,5.499
0.18,0.84,5.3,3.529
0.13,0.73,5.9,1.498
0.27,0.62,5.5,8.649
0.25,0.55,5,2.916
0.21,0.7,4.5,4.288
0.24,0.39,5.2,4.874
0.26,2.81,5.9,9.251
0.29,1.13,5.5,4.17
0.26,1.73,5.7,5.57
0.26,1.28,5.8,7.108
0.24,1.16,5.9,5.001
0.18,0.62,4.9,4.128
0.24,1.15,5,6.951
0.13,0.23,5.4,3.178
0.26,1.1,5.4,5.007
0.18,1.27,5.5,8.665
0.28,0.76,5.2,4.348
0.25,1.42,5.8,7.007
0.33,1.1,6.1,4.627
0.33,1.43,5,8.022
0.22,0.23,4.9,5.415
0.26,1.47,5.6,5.957
0.24,0.92,5.4,5.019
0.27,1.57,5.2,7.945
0.23,1.26,5,5.19
0.081674168359211,1.5,NA,2.61
0.118588463039695,2,NA,3.758
0.108667517106782,2.3,NA,3.731
0.134848237454723,1.6,6.3,6.885
0.148144529964934,1.8,NA,4.765
0.157556772648868,2.5,6.25,6.701
0.31597114567279,1.8,NA,1.51
0.180940134296018,1.5,NA,4.091
0.289959464447708,2.17,NA,5.67
0.278436963123573,1.46,NA,4.589
0.339323588163446,1.34,NA,4.792
0.307363844416049,2.59,4.6,2.896
0.21774202312455,1.42,6.5,6.074
0.254768246178152,2.57,NA,5.212
0.104701155293959,1.05,NA,2.5
0.467841308482626,1.99,NA,3.746
0.275888361278358,2.77,4.7,0.966
0.114079495666879,2.56,4.65,1.356
0.230801032793819,1.77,4.8,2.378
0.247270817057531,0.92,NA,2.974
0.36328920248562,1.19,NA,0.865
0.242011175502864,2.13,NA,0.987
0.277774398827239,1.68,4.75,1.751
0.215380947096486,1.52,4.63,1.568
0.335457856469632,2.19,4.55,1.864
0.217670993913013,1.14,4.48,1.099
0.230816478128472,1.37,NA,2.537
0.278024775695889,2.77,NA,2.725
0.0612957611843886,2.56,NA,0.246
0.300804317344273,1.77,NA,0.681
0.284081233202733,0.92,NA,1.264
0.0962258624171637,1.19,NA,0.632
0.231788352785038,2.13,NA,1.056
0.174381782116264,1.68,NA,2.456
0.255550017950004,1.52,NA,1.406
0.23,0.82,5.4,0.117
0.18,0.63,5.7,1.397
0.24,0.76,5.3,0.667
0.26,1.56,6.5,2.413
0.18,0.71,5.8,3.485
0.15,1.07,5.9,1.813
0.21,0.82,5.5,1.884
0.15,0.79,5.7,0.706
0.22,0.6,5.9,0.17
0.19,1.05,6.2,4.55
0.19,0.85,5.8,0.955
0.19,1.51,6.1,2.332
0.23,0.8,5.4,0.627
0.24,1.1,5.3,0.761
0.22,1.24,5.1,0.733
0.22,0.18,4.7,4.911
0.28,1.1,5.2,4.843
0.21,0.68,5.2,0.387
0.26,0.96,5.3,2.699
0.3,1.14,5.4,2.7
0.27010113047446,2.15,NA,3.082
0.0876342290733071,1.69,NA,5.577
0.111499641380855,2.23,NA,2.192
0.218566607580968,1.06,NA,3.421
0.135189030454637,3.16,NA,3.051
0.31135525163721,2.52,NA,2.191
0.0850341572886961,1.67,NA,2.67
0.309109797826156,2.39,NA,1.747
0.297573391754787,1.99,NA,2.853
0.123589805224787,2.19,NA,2.462
0.22599192545612,2.02,NA,3.77
0.199651258651917,1.63,NA,1.478
0.174780566423859,2.05,NA,3.462
0.31105272785938,0.71,NA,1.866
0.140955195930727,1.17,4.8,6.142
0.178668960437837,1.97,NA,4.66
0.0788133601191554,1.79,NA,3.596
0.166655486955826,1.96,5.5,5.839
0.203233585521877,2.301,5.7,7.823
0.332595835259414,2.3,NA,4.385
0.151875278712866,2.17,6.52,7.878
0.23320575543101,1.46,6.25,7.455
0.0579117007787987,1.92,NA,2.665
0.136061124716521,1.51,5.8,7.736
0.0857424727531568,2.9,NA,1.475
0.286538470945345,1.39,NA,2.37
0.249161595118286,1.93,6.4,8.3
0.0651160023317741,1.194,NA,2.361
0.219820168500572,1.88,NA,2.442
0.140687816810677,1.77,NA,3.368
0.324631221500715,2.52,NA,2.441
0.243346535466224,1.89,NA,1.046
0.209350401584202,2.02,NA,2.024
0.351812714499035,2.1,NA,1.144
0.251624973890865,1.67,NA,1.024
0.0609230495711559,2.78,NA,2.043
0.22963505438456,2.17,NA,1.933
0.153705238037036,1.88,NA,2.763
0.460403475124722,2.3,NA,3.438
0.29191549681032,1.49,NA,1.586
0.304114110318266,2.12,NA,3.153
0.231549538088672,1.53,NA,2.635
0.288002881378477,2.06,NA,9.4
0.358239791519026,1.3,NA,8
0.11559363614679,0.25,NA,1.352
0.30267569478509,2.42,5.8,8.21
0.1,NA,NA,3.1
0.1,0.5,NA,4.2
0.1,0.61,NA,5.3
0.15,0.51,NA,0.5
0.17,0.73,NA,4.5
0.13,0.52,NA,4
0.16,0.4,NA,3.8
NA,0.65,6.1,6
0.41,1.7,6.21,7.9
NA,1,6.3,7
NA,1.2,5.6,7.5
NA,0.8,5.7,7.2
0.35,NA,6.51,8.6
NA,0.5,6.25,2.2
NA,0.56,6.3,3.5
NA,0.47,6.32,1
0.41,2.3,6,8.2
0.3,2.7,4.46,4.32
0.28,2.5,6.12,8.2
0.4,1.8,5.8,7.5
0.38,2,5.9,6.5
0.33,1.7,6.2,8
0.34,2.5,6,7.8
0.3,2.6,6.1,8.2
0.38,2.5,5.8,4.32
0.39,2.6,6.2,8.2
0.39,2.7,6.1,7.5
0.35,2,5.8,6.5
0.3,1.7,6,8
0.2,1,6.1,7.8
0.312498912243173,1.76635364803951,5.42766183556523,1.5663913234137
0.286621673805639,1.88659856487066,5.09234378067777,3.43282136684284
0.389022191381082,2.22240086470265,5.31140703218989,2.05579417524859
0.302992387665436,1.94348340251017,5.21576649043709,4.54762658299878
0.385472136568278,2.6451863047434,5.46601162280422,1.90293442597613
0.364665651852265,2.63768091991078,6.11651105049532,3.16869791960344
0.360440659066662,2.01317559897434,5.75108842854388,2.34123835284263
0.3421098459512,2.6047681222437,5.39296172803733,5.16153676006943
0.284917142186314,1.99927656417713,6.19074595603161,2.60621211687103
0.356741439877078,2.32822117831092,6.21442316100001,3.29524242635816
0.292279950715601,2.18670174053404,6.26083846250549,2.80996868312359
0.318011405114084,2.43752518852707,5.48205908201635,3.37762156575918
0.283503849571571,2.26056096754037,6.16086347936653,6.65351843591779
0.366019391939044,2.77128919451497,5.29857392737176,4.28943694010377
0.301833075238392,1.78227943247184,5.67506775504444,3.36671935860068
0.324278086433187,1.61041105021723,5.54706390772481,1.71794951427728
0.35899041111581,1.55844706241041,6.07075075700413,6.15378634817898
0.370259491261095,1.70268109701574,5.24137452233117,4.22735209371895
0.39176002541557,1.7948678475339,5.82965660130139,5.89949637902901
0.398424911145121,2.25162437350955,5.13802621013019,2.97654570424929
0.395280128167942,2.60431837360375,5.68670865811873,7.00855817804113
0.362641895003617,2.22701166807674,5.71470557816792,4.95931955138221
0.38020222117193,2.63627729453146,6.09157887904439,6.50012835860252
0.336634399807081,1.54416181782726,6.42869988025632,3.5326428828761
0.306289998246357,2.76971404319629,5.75792932684999,4.33875064486638
0.322035805210471,2.19130213928875,5.5436041560024,2.05668016737327
0.282833898440003,2.46037986075971,5.58530524710659,5.32453249553218
0.294677842166275,2.7005707381526,5.61372210399713,5.05462367506698
0.32842190079391,2.23609941436443,5.66905894223601,1.84631143184379
0.327309235250577,1.77635345917661,5.54535049584229,3.51145820105448
0.335859164148569,2.79736322306562,6.20895682531409,7.75513081857935
0.302183670327067,2.72147117012646,6.45216201432049,1.02760809622705
0.325271246545017,2.23932507822756,5.73216393066105,5.84078006772324
0.288670137822628,2.26526414547116,5.42826511815656,6.23127768160775
0.322422256376594,2.33130215001293,5.34335964301135,1.9843218090944
0.309515259144828,2.78169413534924,6.36212217225693,2.42330727213994
0.395383414393291,1.6546619473258,5.28675426973496,4.69244249956682
0.339161458257586,2.1107340790797,6.49642785009928,2.28882414428517
0.293007234148681,2.56161126988009,5.58615883952007,5.13073632214218
0.308133907839656,1.9283697552979,6.11158159316983,2.59023872716352
